uid,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
u17,pre,5,5,5,4,5,5,5,5,2,5,3,4,5,4,4,3,5,4,5,5,5,5,3,4,5,4,3,5,4,5,5,5,3,5,5,3,2,3,1,5,1,5,3,5
u18,pre,2,4,3,5,3,4,3,4,2,3,3,4,4,4,3,2,2,2,3,3,3,1,2,2,2,3,4,3,4,2,3,2,3,3,4,3,3,4,3,4,4,3,4,1
u19,pre,1,3,4,3,4,5,3,4,3,3,3,2,4,4,4,3,3,3,5,3,5,2,3,3,3,2,4,4,4,3,5,4,4,3,4,2,3,4,4,4,3,4,3,3
u20,pre,5,2,4,2,5,2,5,2,3,3,3,2,4,3,4,4,5,3,2,5,3,5,3,4,4,4,2,3,2,5,3,4,3,4,5,5,2,3,3,4,5,4,3,4
u22,pre,3,2,5,2,5,3,3,4,3,5,5,1,5,4,5,5,2,1,2,4,3,4,1,3,5,4,3,5,3,2,4,4,5,2,2,4,4,5,2,4,4,4,2,2
u23,pre,3,4,4,4,4,4,4,4,3,3,3,2,3,4,4,4,3,3,3,4,4,5,2,2,3,4,2,3,4,3,0,4,4,3,3,3,2,3,5,4,3,3,5,5
u24,pre,3,4,2,3,4,3,4,4,3,4,4,4,2,2,4,3,3,4,4,4,2,2,4,2,4,5,3,2,2,4,4,2,5,3,2,4,4,2,4,3,4,4,4,2
u27,pre,3,2,3,3,3,4,4,4,3,4,3,1,4,3,3,3,4,4,3,3,4,4,3,3,3,2,4,3,3,5,4,4,2,3,4,3,2,3,4,4,4,4,4,4
u30,pre,5,2,5,1,4,2,4,2,2,4,4,1,5,2,4,5,4,2,3,3,2,4,1,4,4,5,2,5,2,3,2,4,4,5,3,5,2,4,1,4,3,4,2,4
u31,pre,5,4,4,3,3,1,4,4,3,5,4,4,4,3,1,2,5,4,4,4,1,5,4,4,4,3,2,3,4,5,1,5,3,2,1,5,2,3,2,4,5,4,3,5
u32,pre,5,4,5,1,4,3,4,1,5,5,5,1,4,2,4,5,5,2,3,4,2,4,3,5,4,4,1,5,2,4,3,4,5,4,2,5,2,5,2,4,4,5,3,2
u33,pre,4,3,3,4,5,3,4,4,1,4,3,2,2,4,4,3,3,5,4,5,3,4,5,3,5,1,4,3,4,4,4,4,3,4,2,4,2,1,3,5,1,2,5,5
u34,pre,4,3,3,1,3,2,5,4,4,4,4,2,4,4,3,3,5,3,3,4,4,4,4,5,3,3,2,4,4,3,4,5,3,2,3,4,1,3,4,3,2,4,2,3
u35,pre,3,2,4,2,4,3,4,2,4,4,4,2,4,3,3,3,4,2,2,4,4,4,3,2,3,2,3,3,2,2,4,4,3,3,2,2,2,4,3,4,2,4,3,2
u36,pre,4,2,4,1,4,3,4,3,4,4,4,1,4,3,4,4,4,2,1,4,3,4,2,5,4,3,1,4,2,3,3,4,3,3,4,4,3,4,1,4,3,4,2,3
u39,pre,3,3,4,2,3,2,3,4,4,4,3,3,4,4,4,4,3,4,3,4,3,4,4,4,4,4,2,3,4,4,3,4,4,3,4,3,4,4,4,4,3,4,3,3
u42,pre,4,1,3,3,4,4,4,4,4,5,4,1,3,2,4,4,5,4,3,4,3,4,4,3,4,2,3,2,3,4,3,4,4,4,3,3,2,2,2,4,2,4,4,3
u43,pre,2,2,5,2,4,5,4,4,4,4,4,1,5,4,4,4,5,2,2,3,4,3,1,4,4,2,2,5,3,3,4,4,3,5,3,2,2,5,4,4,4,4,2,2
u44,pre,3,3,4,1,4,3,4,4,4,5,4,2,4,4,4,4,5,1,1,4,4,4,2,4,4,3,3,5,2,4,2,4,4,3,4,4,4,4,3,4,2,4,4,1
u45,pre,4,3,3,2,4,2,3,2,1,3,3,1,4,3,3,4,3,1,4,4,3,5,5,2,3,3,4,4,3,5,1,3,3,4,3,4,1,3,2,3,1,4,2,4
u46,pre,4,5,5,2,4,4,5,3,2,5,3,4,4,3,4,2,2,3,4,5,2,4,3,3,4,3,3,5,4,5,3,4,4,2,2,4,3,3,4,4,2,4,4,3
u47,pre,5,3,4,2,5,2,4,4,5,5,5,3,4,3,3,5,2,2,2,4,2,4,3,4,5,5,5,4,3,4,4,4,5,5,3,5,2,2,2,3,3,4,3,3
u49,pre,4,2,5,1,4,5,4,4,5,5,4,1,5,4,5,4,5,4,3,5,4,5,3,4,4,2,3,4,4,5,4,5,4,4,3,4,3,4,3,5,4,4,2,5
u50,pre,5,3,4,2,4,3,4,3,4,4,4,3,4,3,4,4,4,2,2,3,3,4,3,4,3,4,4,4,4,4,3,3,4,4,3,5,3,4,3,4,3,4,4,3
u51,pre,3,3,4,2,4,2,4,3,3,4,4,2,4,3,4,3,3,2,4,4,4,4,3,4,4,4,2,4,3,4,3,4,4,3,2,4,2,4,2,4,2,4,2,4
u52,pre,1,4,3,4,4,5,1,3,2,5,3,1,2,3,4,4,5,3,4,5,5,3,5,1,3,1,4,3,5,2,5,4,2,3,2,1,2,2,5,5,4,4,5,1
u53,pre,4,3,5,3,5,5,4,5,2,4,2,1,5,5,3,2,5,5,5,4,4,4,3,2,4,3,4,5,5,5,5,5,3,1,2,3,2,2,5,5,1,4,5,5
u56,pre,2,1,4,1,5,5,4,3,4,5,2,1,4,3,4,2,4,5,2,3,5,4,3,5,4,2,3,4,3,4,5,4,4,4,1,2,2,3,2,4,2,4,2,3
u57,pre,1,2,4,2,3,4,4,3,4,4,4,2,5,4,2,3,5,4,2,3,4,4,3,5,2,1,4,3,2,4,4,5,3,4,4,2,1,3,2,2,3,3,3,2
u58,pre,1,3,2,3,4,5,5,3,2,4,3,1,5,4,3,4,5,1,4,3,5,4,5,3,2,5,3,4,4,5,5,5,5,2,5,1,1,5,5,5,2,4,4,5
u59,pre,5,2,3,3,3,3,4,4,4,5,5,1,4,3,3,5,4,4,4,3,3,5,5,5,3,4,2,2,4,4,4,5,4,5,4,5,2,4,5,5,2,2,5,3
